product_id,product_name,aisle_id,department_id
9,Light Strawberry Blueberry Yogurt,120,16
31,White Pearl Onions,123,4
43,Organic Clementines,123,4
45,European Cucumber,83,4
49,Vegetarian Grain Meat Sausages Italian - 4 CT,14,20
62,Premium Deli Oven Roasted Turkey Breast,96,20
66,European Style Spring Mix,123,4
74,Artisan Chick'n & Apple Sausage,14,20
85,Soppressata Piccante,96,20
89,Yogurt Fruit Dip Sliced Apples,123,4
98,2% Yellow American Cheese,2,16
99,Local Living Butter Lettuce,83,4
109,Grape Leaf Hummus Wrap,13,20
117,Petit Suisse Fruit,2,16
120,Cauliflower Florettes,123,4
121,Sharp Cheddar,21,16
127,Marscapone,108,16
132,Yogurt Strawberry Pomegranate,120,16
137,Very Vanilla Soymilk,91,16
138,Olli Napoli Salami,96,20
142,Arugula Salad,123,4
143,Organic Lemons,24,4
147,Organic Ranch Veggie Dip,67,20
148,Nectarines,24,4
157,Living Organic Cilantro,16,4
158,Smoked Ham & Oven Roasted Turkey Sub Sandwich Kit,96,20
169,Extra Sharp Cheddar Cheese,21,16
176,Original Turkey,96,20
188,Mild El Nino Salsa,67,20
195,Grade A Pasteurized 2% Milkfat Lowfat Cottage Cheese with Pineapple,108,16
198,Tzatziki Cucumber Sauce,67,20
199,Herb Thyme Clamshell,16,4
208,Vanilla Almond Cashew Almondmilk Cashewmilk Blend,91,16
209,Italian Pasta Salad,1,20
217,"String Cheese, Mozzarella",108,16
226,Shaved Parmesan Cheese,21,16
260,Cantaloupe,24,4
264,Non-Fat Blueberry on the Bottom Greek Yogurt,120,16
287,Turkey,96,20
306,Gold Potatoes,83,4
307,Precious Mozzarella Cheese,21,16
312,Juicing Carrots,83,4
329,Organic Whole Grassmilk Milk,84,16
339,Creamline Yogurt Wild Blueberry,120,16
343,Organic Whole Peeled Baby Carrots,123,4
347,"Vegetable Salad Kit, Sweet Kale",123,4
352,Colby Jack & Mild Cheddar Combo Pack,21,16
353,Tzatziki Greek Yogurt Dip,67,20
359,Deli Thin-Sliced Honey Ham,96,20
364,Greener Selection Salad,123,4
374,Sliced Kosher Salami,96,20
380,Clementine Bag,123,4
389,Mache Blend,123,4
391,Organic Yukon Gold Potato Bag,83,4
400,Grass-Fed Yogurt Blueberry Cardamom,120,16
403,Ultra Thin Pastrami,96,20
419,Light & Fit Strawberry Cheesecake Greek Nonfat Yogurt,120,16
421,Garlic & Herb Fresh Goat Cheese,21,16
432,Vanilla Almond Breeze Almond Milk,91,16
446,Blueberry Pomegranate AcaÃ­ Cultured Goat Milk Kefir,120,16
453,Hummus Wrap,13,20
459,Honey Vanilla Greek Yogurt,120,16
468,Kabocha Squash,83,4
469,Whipping Cream,53,16
477,Naturally Aged Cheddar Cheese Block Hot Habanero,21,16
484,Plain Greek Goat Yogurt,120,16
486,Lowfat Raspberry Kefir Probiotic Cultured Milk Smoothie,120,16
494,Yellow Cherry Tomato,83,4
505,100% Natural String Cheese Mozzarella Cheese,21,16
515,Organic Lowfat Pomegranate Acai Kefir Probiotic Cultured Milk Smoothie,120,16
516,American Cheese Slices,21,16
544,Classic Original Hummus,67,20
545,Creamy Danish Blue Cheese Wedge,21,16
554,Turkey Chili,1,20
557,Red Seedless Grapes Imported,24,4
581,Garnet Sweet Potato (Yam),83,4
584,Organic Blueberry Pomegranate Whole Milk Yogurt,120,16
601,Organic Crunchy Slaw Americana Salad,123,4
611,Uncured Hard Salami,96,20
616,Silken Tofu,14,20
617,Organic Mozzarella,21,16
633,Coconut Milk Creamer Barista Style Original,91,16
641,Cheddar Cheese Curds,21,16
647,Melanie Medleys Vegetable Cream Cheese,53,16
651,Organic Salted Butter,36,16
663,Pico De Gallo,67,20
670,"Coconut Drink, Vanilla",91,16
687,Cocktail Time Hummus,67,20
694,Greek & Chia Blood Orange Yogurt,120,16
702,Cheese Spread Port Wine,2,16
731,Wild Mushroom Vegetarian Quarter Loaf,14,20
734,Salame All Natural Uncured Pepperoni,96,20
738,Almond Breeze Unsweetened Almond Coconut Milk Blend,91,16
740,Celery Heart,123,4
748,Romaine,123,4
755,Skim Milk sharp Cheddar Cheese Singles,21,16
757,Premium Deli Hard Salami,96,20
769,Sliced American Cheese,21,16
781,Organic Shredded Mild Cheddar,21,16
784,Organic Vegetable Tray,83,4
791,Creamy Chocolate Sugar Free Powder Coffee Creamer,53,16
793,Organic Spinach Quinoa Powermeal Bowl,123,4
809,Bolani Pumpkin Filled Flatbread,13,20
814,Trix Cotton Candy Yogurt,120,16
852,Light String Cheese,21,16
856,Asiago Cheese Bread,21,16
857,Grilled Asparagus,123,4
862,Unsweetened Original Organic Soy Non-Dairy Beverage,91,16
863,ArtiHearts Fresh Grilled Artichokes,123,4
877,Ultra-Filtered Whole Milk,84,16
882,Fingerling Potato,83,4
885,Lunchmakers Pizza Pepperoni with Nestle Crunch Bar,13,20
886,Whole Grain Salad with Roasted Pecans & Mango Vinaigrette,1,20
894,Greek 100 Calories Vanilla Fat Free Yogurt,120,16
895,YoKids Squeeze Organic Blueberry Blue Yogurt,120,16
899,Colby Jack Cheese Slices,21,16
904,"Tofu, Gluten Free, Garlic Pepper",14,20
918,Light Brie Soft-Ripened Cheese Mini-Wheel,2,16
920,Coconut Yogurt,120,16
946,Seasonal Oikos Greek Yogurt,120,16
947,Cracker Crunchers Bologna with Nestle Butterfinger Bar LunchMakers,13,20
953,Plain Fat Free Yogurt,120,16
961,Grape Sunflower Butter Sunwiches,13,20
982,Aged Gouda Cheese,2,16
990,Diced Pancetta,96,20
1006,Philadelphia Cream Cheese,108,16
1025,Organic Fresh Basil,16,4
1032,Fat Free Crumbled Feta,21,16
1041,Buffalo Milk Butter,36,16
1043,Organic Broccolini,83,4
1045,Non Alcoholic Caramel Coffee Creamer,53,16
1047,Cinnamon Sugar Butter Tub,36,16
1048,Yogurt Cheese with Probiotic,21,16
1054,Greek Kefir Honey,120,16
1057,"Basil, Asiago & Pine Nut Pesto Ravioli",13,20
1064,Greek Corner Blackberry & Raspberry Lowfat Yogurt,120,16
1068,Pork & Duck Live Mousse With Port Wine Topped With Aspic,67,20
1073,Carving Board Oven Roasted Turkey,96,20
1074,German Bologna,96,20
1080,"Salad, Cobb",123,4
1083,Reduced Fat Cheddar Cheese Slices,21,16
1094,Kids Strawberry Yogurt Tubes,120,16
1100,Balanced Breaks White Cheddar with Sea Salted Roasted Almonds and Dried Cranberries,108,16
1103,Hickory Smoked Turkey Breast,96,20
1104,Plain Yogurt,120,16
1108,Hummus Roasted Garlic,67,20
1115,Turkey Bologna,96,20
1150,"AFC Sushi Spicy Salmon Roll Prepared In Store, Ready To Eat",13,20
1180,Mesquite Uncured Salame,96,20
1181,Mini Watermelon,24,4
1183,Organic Black Seedless Grapes,24,4
1199,YoTot Organic Raspberry Pear Yogurt,120,16
1219,Grapes,24,4
1231,Organic Creme Fraiche,21,16
1234,Cream Top Smooth & Creamy Plain Yogurt,120,16
1238,Smoked Sea Salt & Rosemary Goat Cheese & Olive Oil Infusion,2,16
1240,Plain Better Than Cream Cheese,108,16
1244,Organic Orange Bell Pepper,83,4
1246,Cheese,2,16
1250,Turkey Breast Oven Roasted,13,20
1258,Maple Almond Snack Pack,71,16
1263,American Cheese Slices 12 Count,21,16
1282,Green Onion,83,4
1293,Fresh Yeast,36,16
1321,Plain Grade A  0% Fat Greek Yogurt,120,16
1323,Vanilla Bean Natural Lowfat Yogurt,120,16
1337,"Yogurt, Sheep Milk, Strawberry",120,16
1346,Freshly Crumbled Gorgonzola Cheese,2,16
1347,Organic Raspberry Yogurt,120,16
1358,Phillips Gourmet Portabella Mushroom,123,4
1365,Mixed Bell Peppers,123,4
1368,Pink Lady Apple,24,4
1374,Organic Hass Avocado Bag,83,4
1377,Organic Lactose Free Strawberry Yogurt,120,16
1385,Yogurt Stellar Strawberry,120,16
1388,Mozzarella Cheese Chunk,21,16
1392,Medium Salsa Organica,67,20
1394,Uncured Pepperoni Slices,96,20
1396,Sweet Potato (Yam),83,4
1402,Plain Soymilk Creamer,91,16
1408,Mini Cucumbers,123,4
1409,Dairy Free Coconut Milk Passionate Mango Yogurt Alternative,120,16
1411,"Hummus, Roasted Garlic",67,20
1423,100% Lactose Free Whole Calcium Enriched Milk,91,16
1432,Organic Strawberry Yogurt,120,16
1440,Baby Dill,16,4
1445,Light Pomegranate/Blueberry,120,16
1447,Organic Baby Lettuces,123,4
1455,Firm Pesto Tofu,14,20
